STU_ID,SCHOOL,S1FRNDCLG,X1TXMSCR,X1HHNUMBER,X1SES,X1PAREDU,X1PARENTBA,X1POVERTY,S2ANYDUAL,X1SEX,X1RACE,X2STUEDEXPCT,X2STUEDEXPCT_BA
16110,1,1,16.3132,4,-0.4728,2,0,0,0,0,5,5,0
20748,1,1,16.7836,4,-0.8248,2,0,0,3,1,5,7,1
31310,1,0,17.5627,7,-1.3972,1,0,1,0,0,5,12,1
16255,1,0,18.302,3,-0.8787,1,0,0,0,1,5,9,1
31856,1,0,19.1221,6,-1.4767,1,0,1,0,1,5,12,1
23763,1,0,19.2288,4,-1.5119,1,0,1,3,1,5,2,0
17533,1,0,19.7536,7,-0.4235,2,0,0,0,0,5,1,0
23978,1,0,20.4435,6,-0.3686,2,0,0,0,1,5,3,0
32580,1,0,21.2692,3,0.3614,2,0,0,0,0,5,12,1
14949,1,0,21.3386,6,-0.9551,2,0,0,0,0,5,9,1
24706,1,0,21.9796,4,-0.8837,2,0,1,0,0,5,4,0
26571,1,1,22.1554,4,-0.4046,2,0,0,0,1,5,5,0
34835,1,1,22.3611,5,-0.0658,3,0,1,1,0,5,5,0
17952,1,0,24.0512,3,0.7523,4,1,0,0,1,5,5,0
24846,1,1,24.5016,6,-0.2174,3,0,0,0,1,5,1,0
16437,1,1,25.4676,3,-1.43,2,0,1,3,1,5,9,1
34864,1,0,25.5346,5,-1.429,1,0,1,0,0,5,12,1
31463,1,1,25.7574,2,-0.1602,7,1,1,1,1,5,1,0
18809,1,1,25.9013,6,-1.4995,1,0,1,0,1,5,11,1
22630,1,0,25.9216,6,-0.9992,1,0,1,0,1,5,3,0
30431,1,0,26.634,6,-0.9798,1,0,0,3,0,5,5,0
33303,1,0,26.6839,3,-1.2893,3,0,1,0,1,5,11,1
28078,1,1,26.7027,4,-0.9781,1,0,0,1,1,5,7,1
19926,1,1,27.2237,3,-1.0772,1,0,0,0,0,5,9,1
13197,1,1,27.4251,5,0.2108,3,0,0,1,0,5,3,0
13054,1,0,27.4731,5,-1.044,2,0,1,0,0,5,1,0
27973,1,1,27.5921,3,-0.056,2,0,0,1,0,5,1,0
32450,1,1,27.9695,4,0.157,3,0,0,0,0,5,7,1
11391,1,1,28.0334,2,-0.1431,2,0,0,0,0,5,7,1
20000,1,1,29.2135,8,-0.7138,2,0,0,1,1,5,11,1
26970,1,1,29.6679,9,-0.968,1,0,0,1,1,5,7,1
16544,1,1,30.7549,4,-0.4504,2,0,0,0,1,5,5,0
13428,1,0,30.8659,4,0.8512,5,1,0,0,0,5,1,0
29814,1,0,30.964,3,-0.7751,2,0,0,1,1,5,5,0
13914,1,1,31.7538,5,-1.5655,1,0,1,0,0,4,5,0
15117,1,0,31.7854,7,-0.4843,3,0,0,0,0,5,1,0
25160,1,0,31.901,4,-0.6328,2,0,0,0,1,5,12,1
33468,1,1,32.1658,4,1.1625,4,1,0,1,1,5,9,1
31455,1,1,32.9005,7,-0.7485,2,0,1,0,1,5,11,1
19886,1,0,33.5136,3,-0.17,4,1,0,0,1,5,7,1
25664,1,0,33.6878,4,-1.1348,1,0,0,0,0,5,1,0
30252,1,1,34.3299,6,0.068,3,0,0,0,0,5,1,0
25103,1,1,34.5425,3,-0.8455,2,0,0,0,1,5,11,1
22031,1,1,35.0051,8,0.9507,4,1,0,1,0,5,3,0
29453,1,0,35.0637,6,-0.3554,2,0,1,0,0,5,12,1
18566,1,0,35.1168,5,-1.2064,1,0,1,0,0,5,12,1
16873,1,1,35.7324,6,-0.9394,2,0,1,0,0,5,5,0
28093,1,1,36.9873,3,-0.3206,4,1,0,1,1,5,9,1
31490,1,1,37.4459,3,0.8808,7,1,0,0,0,5,5,0
17940,1,1,37.9294,5,-0.411,2,0,0,3,1,5,12,1
13684,1,0,37.9488,5,-1.2098,2,0,1,3,1,5,1,0
26826,1,1,38.2638,4,-0.2411,3,0,0,0,0,5,9,1
19788,1,0,38.2898,5,-0.5365,2,0,0,0,0,5,1,0
13094,1,1,38.3126,5,0.0012,4,1,0,0,1,5,11,1
25985,1,0,39.0281,11,-1.1558,1,0,1,1,0,5,7,1
34251,1,0,39.1524,8,-0.6785,2,0,1,0,0,5,3,0
